Id,name,Starting_power,Total_Kills,T5_Kills,T4_Kills,Deaths,Pass4_Power,Total_Kills_Pass4,T5_Kills_Pass4,T4_Kills_Pass4,Deaths_Pass4,Pass4_Total_kills ,Pass4_T5_Kills, Pass4_T4_Kills , Pass4_Deaths 
14466663,Nodoevents,160184737,5.14E+09,1.95E+08,1.25E+08,44533731,151491639,5274794261,200226604,126658229,45592312,134794261,5230000,1658229,1058581
9755112,Mr Patito,121650997,4.74E+09,1.56E+08,1.60E+08,18841192,100501135,5017582106,167259126,165348944,21348580,277582106,11300000,5348944,2507388
20690937,Lv94hate24,88536123,2.03E+09,69626000,61820311,21180093,87699884,2202779735,76982912,64413930,21627081,172779735,7360000,2593619,446988
14331709,Bret19,87737918,5.20E+09,1.60E+08,1.99E+08,27670559,87103898,5416076589,168633582,203051531,28205791,216076589,8630000,4051531,535232
28296848,DragonSlayer‘,84752318,801469168,13417215,51233791,16517365,86790720,854251676,14889701,53548990,16845833,52782508,1470000,2315199,328468
9430116,ABG71,92274918,8.74E+09,3.15E+08,2.43E+08,36910985,86617338,9329556376,339347940,253200009,37997329,589556376,24300000,10200009,1086344
7645762,Mr Gambit,85316347,1.56E+09,49798633,55642773,10007019,86382831,1625541173,52680508,56455661,10267982,65541173,2880000,812888,260963
67220414,CloudStrife,88788214,1.38E+09,44061455,48075735,16774547,86038868,1405292340,44894157,48591843,17398651,25292340,833000,516108,624104
28261673,Abo Alfoz,80506980,1.94E+09,68019178,56691625,12948589,84832797,2140158889,76137104,60665331,13356596,200158889,8120000,3973706,408007
28150613,Memoza,88211416,1.46E+09,49451609,46437190,13656185,84016966,1508167871,51413633,47515399,14396292,48167871,1960000,1078209,740107
9387032,BAnanaa,87314692,3.09E+09,1.13E+08,81963404,16262410,83199274,3267115158,120297028,85602620,17325109,177115158,7300000,3639216,1062699
14308259,LazyAK,85231690,3.92E+09,1.42E+08,1.05E+08,22426195,82710670,4200581548,154065360,110672968,23184177,280581548,12100000,5672968,757982
12636696,RtiggerSz,78786200,1.46E+09,45717925,54186433,15614542,80540823,1471880383,46143711,54314999,15707546,11880383,426000,128566,93004
22905119,HAYZEUS,80040856,3.22E+09,90035174,1.34E+08,16054771,80459946,3238697816,90962509,134155193,16174222,18697816,927000,155193,119451
2658308,Valkynaz,79614766,2.13E+09,62821886,84917930,21087836,80299646,2139735578,62903262,84984735,21127948,9735578,81400,66805,40112
20957449,WarSimi,81058838,2.44E+09,79772266,82191687,18936720,80977294,2499883742,82435785,82812817,19301840,59883742,2660000,621130,365120
50946531,stompy,80999321,3.27E+09,1.10E+08,1.04E+08,16459620,79898845,3509158632,119100829,109616831,16900229,239158632,9100000,5616831,440609
9066552,Castario,79368865,3.61E+09,1.20E+07,1.20E+08,23198090,79526915,3613743186,119837520,120655021,23314625,3743186,1080000,655021,116535
6327022,StJamrockSt,81058664,1.75E+09,64325737,45489715,13757502,78135624,1965056771,73326052,49339516,14523846,215056771,9000000,3849801,766344
14175833,Staxonstacks,74470441,885833388,27090431,33938141,20912974,78027115,894223391,27365994,34222810,21095613,8390003,276000,284669,182639
9383865,xDiazovix,86960078,3.23E+09,93198130,1.35E+08,19976564,77950359,3480394251,102408687,141650788,21063345,250394251,9210000,6650788,1086781
19437786,,78112691,2.27E+09,82151835,61979087,14467323,76776615,2392540765,87447384,63738829,14943673,122540765,5300000,1759742,476350
3567450,drakirlwar,87172259,1.61E+09,40657951,78890083,13842326,77468544,1674109147,43076033,80215701,15000535,64109147,2420000,1325618,1158209
28110550,WILKINS,80946300,1.50E+09,50239031,48491161,14635515,77337714,1600147627,54602136,50076328,15649646,100147627,4360000,1585167,1014131
35238338,KnightsGamer,75859790,219617645,7374665,7177405,4287965,77189436,233150835,7930043,7419798,4456640,13533190,555000,242393,168675
20413930,Turbo,78860963,1.30E+09,37479671,53550757,13716119,76949913,1423473686,42419226,56034608,14355209,123473686,4940000,2483851,639090
14169834,nubKris S}0]£!,78420446,3.65E+09,1.22E+08,1.19E+08,20946481,76822625,3725910164,124965212,120363779,21437973,75910164,2970000,1363779,491492
434262,Anthony76,76444911,1.09E+09,35621017,36946214,10931382,76592623,1162622113,39072368,37806581,11307555,72622113,3450000,860367,376173
42272356,Monkey Whale,95427572,2.00E+09,45358050,1.06E+08,9519748,76266609,2390609704,57543578,121269993,12339540,390609704,12200000,15269993,2819792
10978057,SER3van32t,74751563,1.52E+09,60037909,31783712,14238090,76087561,1581033904,62654814,32498099,14374507,61033904,2620000,714387,136417
56508340,$2 BRIANA 32,83834827,2.94E+09,87412791,1.13E+08,18740700,76033989,3507545522,106734641,130935494,19766960,567545522,19300000,17935494,1026260
20714976,SuicideZal3ra,80701003,866224207,30260489,25993983,10668539,75598053,930792336,32530203,27904742,11517954,64568129,2270000,1910759,849415
705324,EP Envy,78553200,1.82E+09,67412149,46820675,16452353,75587596,1874357736,69497390,47825628,17086865,54357736,2090000,1004953,634512
28274829,2# GOLLY aun,74469897,1.34E+09,22672539,86468125,8694298,75486861,1436067852,25128544,91272854,9059864,96067852,2460000,4804729,365566
56459657,Arsenal999,78170166,2.02E+09,71332462,58686112,12485988,75482116,2149602410,75114081,64085791,13470848,129602410,3780000,5399679,984860
3463423,Emigreentis,75145543,3.35E+09,1.18E+08,99363286,15331378,75320317,3425382803,120554861,101043071,15398697,75382803,2550000,1679785,67319
9107928,IFudgel,75998816,2.36E+09,72983038,88335035,13731851,75058732,2645096078,84311165,94572410,14522099,285096078,11300000,6237375,790248
22945051,Lexa Heda,73200303,851026848,22930916,37891270,9925363,74807881,853624468,22930916,38151032,9925363,2597620,0,259762,0
9156365,RH Rici,81299848,6.11E+09,1.75E+08,2.57E+08,21445926,74576482,6310498809,183206002,260340889,22674727,200498809,8210000,3340889,1228801
7727288,TreizNrV,80000158,1.74E+09,56223540,60998657,13275849,74520712,1818311000,59059363,62736943,14605081,78311000,2840000,1738286,1329232
3298896,VeGeTo,83419086,3.48E+09,1.08E+08,1.29E+08,24334641,74171397,3643967063,113836495,133833520,25518398,163967063,5840000,4833520,1183757
28303594,THE RICO,73021881,431221464,10354558,21417021,9231895,73130199,449841710,11126701,21734749,9380061,18620246,772000,317728,148166
7228066,ck0403my,77791210,1.56E+09,41013416,72897395,21917052,72956448,1610798261,42942690,74517444,22791920,50798261,1930000,1620049,874868
14215825,Psaki AleX,80616115,2.16E+09,73439735,68718328,21357936,72817966,2384979244,82467542,73036949,22550925,224979244,9030000,4318621,1192989
15987592,4 Hexagon L,71142390,792719173,29801050,19439909,13078403,72732562,816824923,30809319,19833946,13512400,24105750,1010000,394037,433997
17565504,Cozzz,73414765,1.51E+09,48802212,52559459,15118164,72681885,1625298394,53501043,54269448,15771766,115298394,4700000,1709989,653602
22375708,Nathalie95,75924685,1.13E+09,36115747,39645905,15307762,72643941,1163311461,37340661,40244883,15946574,33311461,1220000,598978,638812
16385321,MA} MAK,71026715,316665786,11418782,8812639,13773946,72425073,327161788,11834641,9030490,14124036,10496002,416000,217851,350090
9428066,Lionel Messi,74927651,2.43E+09,65308333,1.11E+08,20817204,72355869,2506225886,68852000,111660426,20974647,76225886,3540000,660426,157443
3317232,leboomer,75936121,2.00E+09,58121216,81747470,24412498,72009277,2020505300,59020126,82270595,24793159,20505300,899000,523125,380661
9855970,Rabid Dog,74121565,1.40E+09,49195882,41200916,13746276,71319949,1444824312,51053102,42220942,14468524,44824312,1860000,1020026,722248
20895987,StLecheSt,71743802,3.70E+09,1.26E+08,1.17E+08,20144137,71105946,3785139372,129511234,118215428,20947614,85139372,3510000,1215428,803477
14109586,Heresy III,73418944,308906375,11326363,8100935,13961581,70508604,332042295,12249551,8568147,14505405,23135920,923000,467212,543824
13863867,Nezhaforever,76076349,1.58E+09,53431916,49801333,14219672,70361206,1673590336,57258568,51181797,15801775,93590336,3830000,1380464,1582103
2451401,Speccy4eyes,71372646,1.28E+09,36261402,54847397,17569717,70224666,1299329520,36887264,55129814,17831178,19329520,626000,282417,261461
28270506,CarrierJohn,73315040,533644322,18602709,15964367,6695807,70749894,576439249,20314319,16817610,7221668,42794927,1710000,853243,525861
9471719,Lastwar,73913714,1.73E+09,62274872,47089704,19364541,70019448,1832480222,66649109,48891652,20703341,102480222,4370000,1801948,1338800
9828945,ivysaurus,72225320,2.91E+09,1.03E+08,85549582,18611162,69901402,3030700538,107762381,87130833,19449156,120700538,4760000,1581251,837994
9067996,Nub Sui,80140642,3.84E+09,1.36E+08,1.12E+08,22274698,69740570,3976637727,141251919,114709297,23965134,136637727,5250000,2709297,1690436
11980323,TomHDL,73525613,1.23E+09,47967928,26139343,9943674,69652126,1365289602,53860880,28304236,11140705,135289602,5890000,2164893,1197031
28325228,Budluck'R,69246947,1.21E+09,43388306,33990849,10369396,69555093,1209590798,43388306,33990849,10369396,409202,0,0,0
34798475,CarrierJ,69266390,94144787,2785555,3757604,2524599,69444184,107722077,3271091,4142706,2775472,13577290,486000,385102,250873
17533687,MadAttendant,68810633,836017882,24567388,33021979,10852519,69385265,851724762,25188781,33349881,10906145,15706880,621000,327902,53626
17405603,HunterKill3r,71646226,1.69E+09,46953132,73706362,18175988,68647454,1709900705,47780644,74338330,18363692,19900705,828000,631968,187704
37271872,OHSleipnir,70066683,335690130,11367777,10343517,7083978,69132825,382227613,13246062,11233204,7465326,46537483,1880000,889687,381348
3964251,Highlander79,71029193,840132961,28986817,25855546,10176855,68488547,917134730,32283251,26961390,10975990,77001769,3300000,1105844,799135
37024046,Its Qwert,75707626,2.93E+09,93844848,97473223,19977715,68433142,3144533479,102705919,101309386,21661409,214533479,8860000,3836163,1683694
46572157,RonnyEbw,69923035,291060090,9373426,10138924,8936152,68407461,309310073,10045145,10619360,9278572,18249983,672000,480436,342420
72081749,OHPaSaMa,72250841,93913225,3119661,2660638,1460089,67855419,131372659,4425372,3763426,2403327,37459434,1310000,1102788,943238
3480912,xzec,69371736,2.07E+09,67395773,71662419,19398596,67700788,2347595847,78771916,76257815,20248765,277595847,11400000,4595396,850169
9076498,SQMistress3t,74200514,1.22E+09,43622246,33810823,15946071,67514266,1273999127,45880004,35152800,16914687,53999127,2260000,1341977,968616
9391109,ZH Egle,64592227,356183208,8758687,15985950,5394808,67433767,356516493,8769864,15996892,5394808,333285,11200,10942,0
29097632,DuracelL,66433787,108454833,3837167,2634721,6358232,67389533,108655893,3839386,2650389,6358232,201060,2220,15668,0
9406091,Luis Suarez,67085360,329633141,9366733,13620564,9446118,67128575,329633141,9366733,13620564,9446118,0,0,0,0
11113359,SZZOROSZ,65829541,3.92E+09,1.19E+08,1.51E+08,17263446,67073622,4016353156,122411250,154062139,17743086,96353156,3410000,3062139,479640
94442537,xajMosaX,66026032,245726743,7446261,9178673,3546426,66988358,245726743,7446261,9178673,3546426,0,0,0,0
28228449,Persinga ngaw,71376239,878817707,32027615,23740594,12257444,66703981,980669592,35981361,26002650,13293074,101851885,3950000,2262056,1035630
28208448,EnergiZer,66319158,383974576,4701139,24872178,8649626,66522438,390180050,4908425,25077092,8764970,6205474,207000,204914,115344
15168507,Highlander79 |,64704897,98100278,3545200,2619466,2803720,66485713,108963652,4001363,2789852,3091636,10863374,456000,170386,287916
29734240,2H Chnew89,68288779,219556028,7784868,6221520,8552719,66434419,229900289,8169887,6485589,8865733,10344261,385000,264069,313014
34692668,Rik Noname,69734888,852517306,30033761,24877810,14533163,65608972,921399979,32813543,26199225,15684390,68882673,2780000,1321415,1151227
33502549,ShetlonAbove',65282680,147404458,5189126,4323848,8223449,65895460,149373716,5267769,4363403,8268600,1969258,78600,39555,45151
2411461,Made in LLT,66618667,670146210,18279859,29647850,9147523,65416275,693462407,19237190,30064516,9706297,23316197,957000,416666,558774
20700297,SWhiskey3t,75696071,4.11E+09,1.32E+08,1.44E+08,35756429,65328973,4283489546,138770805,147701729,37771399,173489546,6770000,3701729,2014970
34122980,Jagya bhil,66230307,1.32E+09,42037729,45333777,15444752,65186599,1382908508,44803202,46555691,15781945,62908508,2770000,1221914,337193
19241701,POOCH Maniw,62487821,153261664,4362032,6273998,1957036,64972285,157426654,4536155,6342251,1957036,4164990,174000,68253,0
84152882,Woody D Duck,65344250,1.22E+09,35250805,49442329,9553103,64685326,1386060407,41813033,53324294,9855084,166060407,6560000,3881965,301981
64909981,X Black Flag X,66607103,308516761,10514342,9465342,6732881,64038894,356406768,12494162,10294187,7568397,47890007,1980000,828845,835516
3463556,Thunderstick,64696532,476170902,14712531,17261809,13358749,63986836,493218927,15427691,17536153,13551758,17048025,715000,274344,193009
39414083,999Snoop,65222941,300784571,10655277,8545411,4365832,63953791,315455468,11271792,8778844,4715307,14670897,617000,233433,349475
30889521,RhECrypto,62993499,271789707,7629518,11847162,7050752,63922567,271789707,7629518,11847162,7050752,0,0,0,0
18208784,JU Stax,67674148,2.50E+09,67905753,1.12E+08,17527850,63680504,2554860838,69270959,114580424,18245870,54860838,1370000,2580424,718020
83358707,imad 2,63855324,53754051,1499749,2336974,2742385,63583160,57645704,1648448,2428724,3007212,3891653,149000,91750,264827
76525179,AAGH,65461930,329650016,11237921,10086941,7035847,63420871,346230442,11823056,10569787,7567683,16580426,585000,482846,531836
56842186,S Tyrande 8,63236994,1.06E+09,38050041,27827310,8517352,63135141,1166506942,42897065,28968238,8849983,106506942,4850000,1140928,332631
13719316,TECHSIN,61959853,1.60E+09,47211512,64841780,14503045,63122189,1598003190,47211512,64841780,14503045,1996810,0,0,0
14915327,Secret Squirre,61672823,315137382,10349416,10476824,6218962,62972868,322216961,10583136,10716122,6252886,7079579,234000,239298,33924
23663084,hee0farm,61043678,73533760,1853157,3529638,3557174,62967084,76946750,1997567,3582117,3557174,3412990,144000,52479,0
27234433,DanielSebb,68402583,509002025,14198680,22155244,7434748,62716165,569417277,16578589,23434571,8463583,60415252,2380000,1279327,1028835
14202127,Edvus,57907983,372017791,9839659,17318768,8665622,62616536,372017791,9839659,17318768,8665622,0,0,0,0
31578656,DAVID,65595119,250321971,7649996,7778165,12994175,62561303,280081510,8820633,8399131,13538328,29759539,1170000,620966,544153
38693871,FaFouTis,67516112,373361551,10923693,15306557,11558495,62553792,406685443,12241598,16002957,12686372,33323892,1320000,696400,1127877
28214592,SAADIraqi lion,71202913,194324852,5050117,9155182,15539739,62383293,198596522,5253814,9174955,16087982,4271670,204000,19773,548243
19744769,St Lady D 82,66359105,530123115,17888617,17037361,13237095,62314179,554158570,18831227,17549665,13855387,24035455,943000,512304,618292
77174079,OHVickydiel,61852870,114135220,3387842,3559117,7678952,62281925,135692264,4282071,3925453,8066431,21557044,894000,366336,387479
17396209,Rilleks,70767017,938790027,29768287,33664909,8255597,62126997,1000189236,32354902,34631396,9270483,61399209,2590000,966487,1014886
17642161,StAlfaKoral3z,62116846,245417594,8219303,8075261,6761793,62117176,245417594,8219303,8075261,6761793,0,0,0,0
28270146,Leann6661,66647815,401033031,10990417,17382250,9631433,61940545,438207620,12230768,18597585,10544054,37174589,1240000,1215335,912621
50899585,CALLMESTAX “,62115856,416131793,13457772,13920713,9014437,61936020,500167603,16768100,15677411,9894355,84035810,3310000,1756698,879918
